iter	Logloss
0	0.685410634
1	0.6763771829
2	0.6688182057
3	0.660051854
4	0.6520649204
5	0.64282039
6	0.6359177179
7	0.6264068228
8	0.6194613201
9	0.6127035702
10	0.6040624927
11	0.5969954046
12	0.5902548094
13	0.5826667563
14	0.5763759003
15	0.5691458419
16	0.5622951943
17	0.5556042009
18	0.5497541083
19	0.5439580733
20	0.5372245906
21	0.5323653595
22	0.5258457566
23	0.5198873884
24	0.5146091424
25	0.5100913858
26	0.505061132
27	0.5004982275
28	0.4966108563
29	0.4924256455
30	0.487981251
31	0.4833737227
32	0.4791647382
33	0.4753864991
34	0.4713082024
35	0.4668195537
36	0.4634332721
37	0.4595212157
38	0.4557678852
39	0.4527287852
40	0.4493417796
41	0.4462939378
42	0.4429952816
43	0.4393712814
44	0.4366116099
45	0.4332915555
46	0.4300831553
47	0.4275455887
48	0.424306791
49	0.4221558269
50	0.4197954553
51	0.4169418665
52	0.4141920492
53	0.4112404867
54	0.4092995066
55	0.40652519
56	0.4041801683
57	0.401044921
58	0.3990343083
59	0.3962844579
60	0.3933612994
61	0.3911016965
62	0.3888449477
63	0.3864383212
64	0.3845547378
65	0.3827388851
66	0.3812943521
67	0.3785294707
68	0.377702431
69	0.3758497484
70	0.3733594942
71	0.3710607318
72	0.3691833938
73	0.367781869
74	0.3660609888
75	0.3637974294
76	0.3629129316
77	0.3610941327
78	0.3592134866
79	0.3577083771
80	0.3560969603
81	0.3542215249
82	0.3523839799
83	0.3500206118
84	0.3487788504
85	0.347284688
86	0.3453155296
87	0.3441247829
88	0.3432360257
89	0.341892305
90	0.3404196477
91	0.3387569431
92	0.3372064605
93	0.3362895637
94	0.3349636874
95	0.3336906027
96	0.3325492222
97	0.3311028088
98	0.3295599337
99	0.32823237
100	0.3269996145
101	0.3257387741
102	0.3245112418
103	0.3235156382
104	0.3226441602
105	0.3217115498
106	0.3205763977
107	0.3196622753
108	0.3185653766
109	0.3175085853
110	0.3166566507
111	0.3154452977
112	0.3143742029
113	0.3131889105
114	0.3121496002
115	0.3105106234
116	0.3095968545
117	0.30864154
118	0.3077682263
119	0.3069538077
120	0.3060675533
121	0.3053454601
122	0.3043590915
123	0.3032943288
124	0.3023559851
125	0.301140074
126	0.3001839393
127	0.2992546738
128	0.2986923678
129	0.2980384322
130	0.2972717387
131	0.2964455624
132	0.2952667971
133	0.2944669113
134	0.293788542
135	0.293121932
136	0.292275325
137	0.2914171862
138	0.29066765
139	0.2896973795
140	0.2888384807
141	0.288010764
142	0.2873807607
143	0.2865230998
144	0.2857230673
145	0.2848980949
146	0.2840788684
147	0.2833877177
148	0.282652272
149	0.2820009245
150	0.2814426113
151	0.2804861557
152	0.279831583
153	0.2792417514
154	0.2787303637
155	0.2780685174
156	0.2774469164
157	0.2772878758
158	0.2766549087
159	0.2760673007
160	0.2753721096
161	0.2746455536
162	0.2738722088
163	0.2733606208
164	0.2728320657
165	0.2721381669
166	0.2716313819
167	0.2708816953
168	0.2702654422
169	0.2696099533
170	0.269100168
171	0.2685828233
172	0.2680854519
173	0.2675125219
174	0.2671599006
175	0.2666138702
176	0.2659211245
177	0.2652911017
178	0.2647991147
179	0.264103645
180	0.263626116
181	0.2633166687
182	0.2627934889
183	0.2623280102
184	0.2619643995
185	0.2616270123
186	0.2612898995
187	0.2607516299
188	0.2603493416
189	0.2597661527
190	0.2591081755
191	0.258667685
192	0.257981855
193	0.2573757212
194	0.2568565959
195	0.2564050027
196	0.2561363678
197	0.2555495491
198	0.2551766446
199	0.2547085626
200	0.2543762186
201	0.253882202
202	0.2535047219
203	0.2530054442
204	0.2525996107
205	0.2522241068
206	0.251722536
207	0.2514535267
208	0.2510489616
209	0.250476246
210	0.2501227313
211	0.2496887501
212	0.2495075886
213	0.24910088
214	0.2486668205
215	0.2482206522
216	0.2478597053
217	0.2473778413
218	0.2468254924
219	0.2465064273
220	0.2460454714
221	0.2455499153
222	0.2451855177
223	0.2445839113
224	0.2442506291
225	0.2439558835
226	0.2435511029
227	0.2431126302
228	0.2428309069
229	0.2424507276
230	0.2420824446
231	0.2417441741
232	0.241258474
233	0.2407903156
234	0.2404507245
235	0.2400110564
236	0.2395803012
237	0.2392490131
238	0.2389651707
239	0.2385199709
240	0.2381444288
241	0.2377254341
242	0.2373439897
243	0.2370570056
244	0.236687249
245	0.2363832982
246	0.2360341614
247	0.2355654372
248	0.2352910995
249	0.2349213908
250	0.2347731467
251	0.2344415386
252	0.234177735
253	0.2338198192
254	0.2335173647
255	0.2332174165
256	0.2327215666
257	0.2322418637
258	0.2316144134
259	0.2311462196
260	0.2308293604
261	0.2305064026
262	0.2301751382
263	0.2298050857
264	0.2293368908
265	0.2287607279
266	0.2284098862
267	0.2280395031
268	0.2276364276
269	0.2272879296
270	0.2270320748
271	0.2267040772
272	0.2264164956
273	0.2260291009
274	0.2257984599
275	0.2254481429
276	0.2249933194
277	0.2246716943
278	0.2243818647
279	0.2240251879
280	0.2236570754
281	0.223211689
282	0.2229322322
283	0.2226810366
284	0.2224702307
285	0.2222099826
286	0.222043914
287	0.2216179909
288	0.2211701695
289	0.2208375652
290	0.2205751692
291	0.2203686117
292	0.2200984249
293	0.219805637
294	0.2194871259
295	0.2190184748
296	0.2187495087
297	0.2184746969
298	0.2181434211
299	0.2178224944
300	0.2175530801
301	0.2172683417
302	0.2170173804
303	0.2167091563
304	0.2163161589
305	0.2159999345
306	0.2157393907
307	0.2153840074
308	0.2151940677
309	0.2148599742
310	0.2146709058
311	0.2143788857
312	0.2140860447
313	0.2137993837
314	0.2135179198
315	0.2133146613
316	0.2130425669
317	0.2125551995
318	0.212298671
319	0.2119248751
320	0.2116579954
321	0.2112120947
322	0.2110078297
323	0.2106879416
324	0.2104868423
325	0.2100499124
326	0.209721444
327	0.2093420246
328	0.2089939987
329	0.208704248
330	0.208419857
331	0.208223873
332	0.2080318408
333	0.2077071837
334	0.2074674654
335	0.2071203114
336	0.206784088
337	0.2066617647
338	0.2064549375
339	0.2062250153
340	0.2060135613
341	0.2057155592
342	0.2055210744
343	0.2051573813
344	0.2049027689
345	0.2045595603
346	0.2042412909
347	0.2040171165
348	0.2037946689
349	0.2034627924
350	0.2031042995
351	0.2028412615
352	0.2024965203
353	0.20222391
354	0.2019245155
355	0.2016970934
356	0.2014409608
357	0.2013021103
358	0.2009735175
359	0.2008130817
360	0.2006197983
361	0.2002861035
362	0.2001377151
363	0.1997840409
364	0.1995401067
365	0.1991428109
366	0.1988844066
367	0.1987032938
368	0.198446721
369	0.1982747017
370	0.1980289123
371	0.1977966665
372	0.1974830665
373	0.1972688864
374	0.1969867344
375	0.1966951571
376	0.196455638
377	0.1962215832
378	0.1959990225
379	0.1958200048
380	0.1956525838
381	0.1955777514
382	0.195280303
383	0.1949044118
384	0.1945927567
385	0.1943732695
386	0.1942500148
387	0.1940659881
388	0.1937374383
389	0.1933912723
390	0.1931411117
391	0.192836675
392	0.1927070002
393	0.1924646072
394	0.1921115443
395	0.1917958524
396	0.1915937436
397	0.1913176582
398	0.1910565464
399	0.1906395386
400	0.1904266218
401	0.1901604461
402	0.1899033186
403	0.1897685635
404	0.1894319677
405	0.1892659498
406	0.1890294122
407	0.1886644333
408	0.1883948138
409	0.188260095
410	0.1880073845
411	0.1877347869
412	0.1875405671
413	0.1873903128
414	0.1871281141
415	0.1869122809
416	0.1867552985
417	0.1865816797
418	0.186249702
419	0.1860594853
420	0.1858309593
421	0.1856754669
422	0.185479545
423	0.1852681099
424	0.1850557287
425	0.1848224511
426	0.1845606246
427	0.1843899038
428	0.1842288244
429	0.1840399832
430	0.1838613518
431	0.1837047767
432	0.183492872
433	0.1832742832
434	0.1829076878
435	0.1827041282
436	0.1826013198
437	0.1824497211
438	0.1822221327
439	0.1819181736
440	0.1817537694
441	0.1814251769
442	0.1811795263
443	0.1809504569
444	0.1806951659
445	0.1803415025
446	0.1801241042
447	0.1797941591
448	0.1795572594
449	0.1791650626
450	0.1789760418
451	0.1787710493
452	0.1785487169
453	0.178341028
454	0.1782019884
455	0.1779111069
456	0.1777323374
457	0.1775306071
458	0.1773701537
459	0.1771373403
460	0.1768954752
461	0.1766283321
462	0.1764211132
463	0.1762326225
464	0.175939612
465	0.1757900384
